mfa_utterance_id,sample_id,audio_path,lab_path,whisper_transcript,whisper_lexical_word_count,audio_duration_s,wav_sha256,source_audio_start_s
sample_0001,-3g5yACwYnA$_$13,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0001.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0001.lab,that we do. They have been able to find solutions or at least bring some answers to the table.,19,5.399,45b7a99658bcaaf78e898e7fd8df6f8e59cbd355af3d1effb627e87fa527da8d,0.0
sample_0002,-3g5yACwYnA$_$3,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0002.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0002.lab,"We're a huge user of adhesives for our operation called flocking, and we don't have the technical insight in for compounding or the technical expertise to do these types of things. So, key brings.",34,14.327875,01d778bbe9b72bc396a0f5e0084f69129af802c1f5387a725867d2639bdf7831,0.0
sample_0003,-3g5yACwYnA$_$2,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0003.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0003.lab,key polymer brings a technical aspect to our operation that we don't have internally.,14,9.231,7f8a14e3912b5e5c95bfb0e85c69731e680a9e9f4a4b35260f7bd7bb531b39dd,0.0
sample_0004,-3g5yACwYnA$_$9,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0004.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0004.lab,"Like, we have many new opportunities through the way things have changed through the years, looking for new niche, high-end value-added products.",24,8.696,8ce26ae8910e28c50a976593c6444a629d86585d6b9ddada9b8f53ee4e303a8d,0.0
sample_0005,-3nNcZdcdvU$_$5,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0005.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0005.lab,Non-compliance can result in legal liability to you and to the school district in which you are employed.,19,7.788,190541aa1e792db8d2606f66f94a3f3141c4dadfef2d8cbe3da6939806244319,0.0
sample_0006,-HwX2H8Z4hY$_$2,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0006.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0006.lab,mediocrity. Look at the record.,5,3.9158125,9bb6f76b1659a4cd5e0d44635e7256012a421a76401f81071761f20ff8b9584c,0.0
sample_0007,-HwX2H8Z4hY$_$5,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0007.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0007.lab,President Ronald Reagan blamed the professional bureaucracy of education.,9,5.544,3707bda1abd6ffdd9292771bf312a8d19b4826f4387572101a2b99759c979b83,0.0
sample_0008,-HwX2H8Z4hY$_$6,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0008.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0008.lab,"And in part, Al Schenker did too.",7,3.256,726d4e0889af8c6604af970fe16fed695b92204e082bce0bd32e9ff78709b99e,0.0
sample_0009,-HwX2H8Z4hY$_$9,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0009.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0009.lab,It is a word with which the administrator uses when he turns around anything which he doesn't like the teacher is doing he says you,25,7.6363125,9ac42bc216fe8232568d52e3559cbdf602e188daa8491095888f989e41737506,0.0
sample_0010,-NFrJFQijFE$_$2,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0010.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0010.lab,"Hock's sense of hearing is excellent, and their eyes are",10,6.698,fa24a5368120832c58d45b98c460254ad7f7560467d8a5c93f3d2b193fcb0e7e,0.0
sample_0011,-THoVjtIkeU$_$12,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0011.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0011.lab,"Whatever we turn our attention to is what grows. And so if we believe that anything is possible, if we believe that social justice can be achieved, and if we believe in youth, they will believe in themselves.",38,14.805,f80f8f21cb0bfbb32b6ea2281a0c1ce0ecc7b4802491197338b336660fa0f027,0.0
sample_0012,-THoVjtIkeU$_$2,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0012.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0012.lab,I think social justice is extremely important for young people.,10,4.23,d23531e26b790a3d88958fd589b56be32f0f72e04e2ba431110d3b647831683a,0.0
sample_0013,-THoVjtIkeU$_$6,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0013.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0013.lab,"I think that listening to young people, taking in what they have to say, because what we've seen all around the world is the power of youth.",27,7.982875,3173573ed9cb73e17e6ec0bda8c20eabc8101b0aa07b02a1904f5d4df95957e9,0.0
sample_0014,-UuX1xuaiiE$_$1,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0014.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0014.lab,And all of them are really being able to explore these different areas in depth in a way that really wasn't available before the center was here.,27,10.267,2e567b4f734d4bed4ddbfd9fa79e2901b32c437411ce4579274040baece5d76b,0.0
sample_0015,-UuX1xuaiiE$_$0,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0015.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0015.lab,It's amazing to see their enthusiasm and their passion.,9,3.575875,e89204f913deaf701f90605bfadf37fea2c4c33504500c3c5306f620c5e7fce6,0.0
