sample_id,official_word_count,whisper_word_count,exact_normalized_text_match,unique_mandatory_token_mappings,recovered_word_times,mapped_but_time_flagged,unmatched_or_ambiguous_words,time_sequence_matches_whisper_text
-3g5yACwYnA$_$13,15,19,False,14,14,0,1,True
-3g5yACwYnA$_$3,29,34,False,28,27,1,1,True
-3g5yACwYnA$_$2,14,14,True,14,14,0,0,True
-3g5yACwYnA$_$9,23,24,False,23,23,0,0,True
-3nNcZdcdvU$_$5,18,19,False,17,17,0,1,True
-HwX2H8Z4hY$_$2,7,5,False,4,4,0,3,True
-HwX2H8Z4hY$_$5,9,9,True,9,9,0,0,True
-HwX2H8Z4hY$_$6,7,7,False,6,6,0,1,True
-HwX2H8Z4hY$_$9,22,25,False,21,20,1,1,True
-NFrJFQijFE$_$1,16,0,False,0,0,0,16,True
-NFrJFQijFE$_$2,18,10,False,0,0,0,18,True
-THoVjtIkeU$_$12,39,38,False,37,36,1,2,True
-THoVjtIkeU$_$2,10,10,True,10,10,0,0,True
-THoVjtIkeU$_$6,30,27,False,25,25,0,5,True
-UuX1xuaiiE$_$1,27,27,True,27,27,0,0,True
-UuX1xuaiiE$_$0,9,9,True,9,9,0,0,True
-UuX1xuaiiE$_$3,9,9,True,9,9,0,0,True
-UuX1xuaiiE$_$6,22,23,False,21,21,0,1,True
-a55Q6RWvTA$_$3,65,65,True,65,65,0,0,True
-aNfi7CP8vM$_$7,18,18,True,18,18,0,0,True
-aqamKhZ1Ec$_$0,14,16,False,14,14,0,0,True
-dxfTGcXJoc$_$1,36,36,False,35,35,0,1,True
-dxfTGcXJoc$_$0,42,50,False,41,41,0,1,True
-dxfTGcXJoc$_$2,35,35,True,35,35,0,0,True
-dxfTGcXJoc$_$6,28,28,True,28,28,0,0,True
-egA8-b7-3M$_$26,15,16,False,14,14,0,1,True
-egA8-b7-3M$_$17,16,16,True,16,16,0,0,True
-egA8-b7-3M$_$18,22,22,True,22,22,0,0,True
-egA8-b7-3M$_$16,11,11,True,11,11,0,0,True
-egA8-b7-3M$_$13,11,11,True,11,11,0,0,True
-egA8-b7-3M$_$1,20,21,False,20,20,0,0,True
-egA8-b7-3M$_$6,12,12,True,12,12,0,0,True
-egA8-b7-3M$_$9,10,10,True,10,10,0,0,True
-egA8-b7-3M$_$20,20,20,True,20,20,0,0,True
-iRBcNs9oI8$_$3,8,14,False,1,1,0,7,True
-iRBcNs9oI8$_$7,9,11,False,0,0,0,9,True
-iRBcNs9oI8$_$6,5,9,False,0,0,0,5,True
-iRBcNs9oI8$_$9,5,3,False,1,1,0,4,True
-iRBcNs9oI8$_$8,21,22,False,1,1,0,20,True
-lzEya4AM_4$_$5,19,18,False,18,18,0,1,True
-lzEya4AM_4$_$6,43,42,False,40,40,0,3,True
-mJ2ud6oKI8$_$1,13,1,False,0,0,0,13,True
-mJ2ud6oKI8$_$2,11,1,False,0,0,0,11,True
-mJ2ud6oKI8$_$6,5,8,False,1,1,0,4,True
-mJ2ud6oKI8$_$9,22,21,False,2,2,0,20,True
-mJ2ud6oKI8$_$8,11,15,False,1,1,0,10,True
-mqbVkbCndg$_$0,14,14,True,14,14,0,0,True
-t217m2on-s$_$2,12,12,True,12,12,0,0,True
-t217m2on-s$_$7,45,45,True,45,44,1,0,True
-tANM6ETl_M$_$3,22,21,False,21,21,0,1,True
-tPCytz4rww$_$11,17,18,False,12,12,0,5,True
-tPCytz4rww$_$10,12,14,False,10,10,0,2,True
-tPCytz4rww$_$12,26,26,False,20,19,1,6,True
-tPCytz4rww$_$16,16,19,False,14,14,0,2,True
-tPCytz4rww$_$18,16,24,False,16,16,0,0,True
-vxjVxOeScU$_$4,21,21,True,21,20,1,0,True
-wMB_hJL-3o$_$7,22,22,True,22,22,0,0,True
-wny0OAz3g8$_$1,22,26,False,22,22,0,0,True
-wny0OAz3g8$_$0,9,5,False,5,5,0,4,True
-wny0OAz3g8$_$3,20,22,False,20,20,0,0,True
-wny0OAz3g8$_$2,23,25,False,23,23,0,0,True
-wny0OAz3g8$_$5,20,20,True,20,20,0,0,True
-wny0OAz3g8$_$7,29,31,False,29,29,0,0,True
-wny0OAz3g8$_$9,20,21,False,20,20,0,0,True
-571d8cVauQ$_$0,12,12,True,12,12,0,0,True
-571d8cVauQ$_$5,43,47,False,42,42,0,1,True
-I_e4mIh0yE$_$1,18,18,True,18,18,0,0,True
-I_e4mIh0yE$_$3,22,21,False,19,18,1,3,True
-UacrmKiTn4$_$10,18,18,True,18,18,0,0,True
-UacrmKiTn4$_$4,14,15,False,14,13,1,0,True
-hnBHBN8p5A$_$7,13,14,False,0,0,0,13,True
-hnBHBN8p5A$_$6,13,13,False,1,1,0,12,True
-qDkUB0GgYY$_$6,16,21,False,16,15,1,0,True
-uywlfIYOS8$_$4,18,19,False,17,17,0,1,True
-6rXp3zJ3kc$_$8,34,36,False,32,32,0,2,True
-9y-fZ3swSY$_$0,22,25,False,17,17,0,5,True
-9y-fZ3swSY$_$4,9,9,True,9,9,0,0,True
-9y-fZ3swSY$_$8,12,13,False,12,12,0,0,True
-AUZQgSxyPQ$_$2,41,42,False,35,35,0,6,True
-HeZS2-Prhc$_$2,16,19,False,15,15,0,1,True
-MeTTeMJBNc$_$0,21,21,True,21,21,0,0,True
-MeTTeMJBNc$_$13,14,16,False,14,14,0,0,True
-MeTTeMJBNc$_$7,31,32,False,30,30,0,1,True
-RfYyzHpjk4$_$11,17,17,True,17,17,0,0,True
-RfYyzHpjk4$_$8,17,17,False,16,16,0,1,True
-RfYyzHpjk4$_$2,25,25,False,24,23,1,1,True
-UUCSKoHeMA$_$0,18,19,False,18,18,0,0,True
-ri04Z7vwnc$_$0,8,3,False,0,0,0,8,True
-ri04Z7vwnc$_$2,16,3,False,0,0,0,16,True
-ri04Z7vwnc$_$5,8,14,False,1,1,0,7,True
-s9qJ7ATP7w$_$1,11,13,False,10,10,0,1,True
-s9qJ7ATP7w$_$0,24,22,False,18,17,1,6,True
-s9qJ7ATP7w$_$5,19,22,False,19,19,0,0,True
-s9qJ7ATP7w$_$4,9,13,False,8,8,0,1,True
-s9qJ7ATP7w$_$7,28,31,False,28,28,0,0,True
-s9qJ7ATP7w$_$6,5,7,False,5,5,0,0,True
-s9qJ7ATP7w$_$8,12,16,False,12,12,0,0,True
-yRb-Jum7EQ$_$1,49,0,False,0,0,0,49,True
-yRb-Jum7EQ$_$5,25,38,False,2,1,1,23,True
-yRb-Jum7EQ$_$6,19,36,False,3,3,0,16,True
