序号,sample_id,原始视频相对路径,原始Excel行号,原始视频SHA256,视频有效时长_s,WAV有效时长_s,原文词数_有效长度,主时间有效词数,声学有效词数,视觉有效词数,声学原始帧数,视觉采样帧数,视觉有效帧数,文本维度,声学维度,视觉维度,对齐粒度,文本全量矩阵,文本全量矩阵起始行_0based,文本全量矩阵结束行_exclusive,声学逐帧文件,声学逐帧SHA256,视觉逐帧文件,视觉逐帧SHA256,词级三模态文件,词级三模态SHA256
1,-3g5yACwYnA$_$13,-3g5yACwYnA/13.mp4,2,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,5.513997,5.399,15,14,14,14,540,55,55,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,0,15,E.1/结果/06_Librosa74/逐样本/-3g5yACwYnA$_$13.npz,1725f642ffce5976a4f4b3bba29fb3a0fbfc11d706f29ee879574e370119c405,E.1/结果/07_FaceLandmarker52/逐样本/-3g5yACwYnA$_$13.npz,fa4dcedfa7f35fb5978081b45bbe4c9f6d92d6f3643914a5deece0210e9eb40e,E.1/结果/08_原文词级跨模态对齐/逐样本/-3g5yACwYnA$_$13.npz,5ee0dc634a7072d830ea0cbde9e1d64c78f4b8d72bb71cfbd706a979c780737e
2,-3g5yACwYnA$_$3,-3g5yACwYnA/3.mp4,3,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,14.388997,14.327875,29,25,25,24,1433,144,144,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,15,44,E.1/结果/06_Librosa74/逐样本/-3g5yACwYnA$_$3.npz,d87e3c12dcc43fe842c83f6a04289d4fa0d2f773d24412fd34936f81b6d9c46f,E.1/结果/07_FaceLandmarker52/逐样本/-3g5yACwYnA$_$3.npz,f560dac3f17658d98846a97b7486522f6248bec86a491c3bf8e97ea45fdbb348,E.1/结果/08_原文词级跨模态对齐/逐样本/-3g5yACwYnA$_$3.npz,6a8799c43e3bb673259ef1b639f33bbea3ffa34941af200c6ba4201723ee039a
3,-3g5yACwYnA$_$2,-3g5yACwYnA/2.mp4,4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,9.39401,9.231,14,9,9,9,924,94,94,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,44,58,E.1/结果/06_Librosa74/逐样本/-3g5yACwYnA$_$2.npz,20a592b65549c57d57ced2b86600aa38f5a6a46de8408fd932b28b1d39afb70f,E.1/结果/07_FaceLandmarker52/逐样本/-3g5yACwYnA$_$2.npz,0c905d0895ecf1311e4679458182dcae1c49083a06141f61ef379ed9cc2212fe,E.1/结果/08_原文词级跨模态对齐/逐样本/-3g5yACwYnA$_$2.npz,a0ecf3b83b4b7ca8b03e8ce4f25f6fa81f14cb69cbab106bd32e767347ff8966
4,-3g5yACwYnA$_$9,-3g5yACwYnA/9.mp4,5,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,8.816992,8.696,23,22,22,22,870,88,88,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,58,81,E.1/结果/06_Librosa74/逐样本/-3g5yACwYnA$_$9.npz,e5eab58823c6ad34ea30a6ef467169c92d57c6741ed1b84895f947c30ec2b83f,E.1/结果/07_FaceLandmarker52/逐样本/-3g5yACwYnA$_$9.npz,6396dd8d2066e20dfc0f01cec05b5512815827695e253948eead4488bc92bdeb,E.1/结果/08_原文词级跨模态对齐/逐样本/-3g5yACwYnA$_$9.npz,9567811f1fb96a13f2515af016fe47a093ac6ed2ba455ad78f9bf198dda85105
5,-3nNcZdcdvU$_$5,-3nNcZdcdvU/5.mp4,6,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,7.867969,7.788,18,17,17,17,779,79,79,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,81,99,E.1/结果/06_Librosa74/逐样本/-3nNcZdcdvU$_$5.npz,62a7fdc1a04a907a336fb78cb8248aa2fd75c87d179e01593bbaa376aec01f83,E.1/结果/07_FaceLandmarker52/逐样本/-3nNcZdcdvU$_$5.npz,bfaa4f46554ae000345318da22d1be1adbba585ca2b064044fbbaa61bfe1ccde,E.1/结果/08_原文词级跨模态对齐/逐样本/-3nNcZdcdvU$_$5.npz,36abcd91ab80fb1d2422f36853da8596ccc25d206e89f37fe6b187ccbb41e922
6,-HwX2H8Z4hY$_$2,-HwX2H8Z4hY/2.mp4,7,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,3.982031,3.9158125,7,4,4,1,392,40,9,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,99,106,E.1/结果/06_Librosa74/逐样本/-HwX2H8Z4hY$_$2.npz,db7164ad96f9560161393d13658fab1a051a58e6051668ce8adf93926998b7d2,E.1/结果/07_FaceLandmarker52/逐样本/-HwX2H8Z4hY$_$2.npz,46f8d6c2fe906cb30b87f2c2da6c07828e094389fc05d9aed66a7c538fe1d3f2,E.1/结果/08_原文词级跨模态对齐/逐样本/-HwX2H8Z4hY$_$2.npz,9807ad22d6e477f705ce3ba529424afe19ecafb1e922af596d119a07ef0e8fd8
7,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY/5.mp4,8,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,5.652995,5.544,9,8,8,1,555,57,18,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,106,115,E.1/结果/06_Librosa74/逐样本/-HwX2H8Z4hY$_$5.npz,d25c7409bb20e64b4323d029f3e971902b2a83edd7852469bb014409f61c7983,E.1/结果/07_FaceLandmarker52/逐样本/-HwX2H8Z4hY$_$5.npz,4601b0e585c218a739ca35761995c68aa9f09b53b4ff4ba7ba31643ae6840866,E.1/结果/08_原文词级跨模态对齐/逐样本/-HwX2H8Z4hY$_$5.npz,c77101088ab5ed671a7ac927de61f6e36217a66987fe03d5bc3e38be4e4ecd9a
8,-HwX2H8Z4hY$_$6,-HwX2H8Z4hY/6.mp4,9,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46,3.358008,3.256,7,5,5,3,326,34,21,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,115,122,E.1/结果/06_Librosa74/逐样本/-HwX2H8Z4hY$_$6.npz,92ef95cea1bf15dfa3da8057e785699c5581c5b7766a3e1a043d84af6155d7ea,E.1/结果/07_FaceLandmarker52/逐样本/-HwX2H8Z4hY$_$6.npz,93c5deba9fcb9a863a66a5f8ac511b5361df8095f22c1ec1a2f0e45ce86a26eb,E.1/结果/08_原文词级跨模态对齐/逐样本/-HwX2H8Z4hY$_$6.npz,1bdde4e8671b40b61a05789d33c9d9b6402af6c1dbee2a293b77c161664d4dc5
9,-HwX2H8Z4hY$_$9,-HwX2H8Z4hY/9.mp4,10,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702,7.733984,7.6363125,22,17,17,0,764,78,0,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,122,144,E.1/结果/06_Librosa74/逐样本/-HwX2H8Z4hY$_$9.npz,dfe46daf26e96acb9437bf9693e02fb328bc22623201b2c3cd9701ac347b5ee5,E.1/结果/07_FaceLandmarker52/逐样本/-HwX2H8Z4hY$_$9.npz,71f9f3fd6c0af76e0b72bacca1e70004ea68c0e8e3129ce8a458970ca8290a3f,E.1/结果/08_原文词级跨模态对齐/逐样本/-HwX2H8Z4hY$_$9.npz,325ed4a579ef99575430e34e5f2163e4be8008ff98cffec9322f8f4a24cb2855
10,-NFrJFQijFE$_$1,-NFrJFQijFE/1.mp4,11,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f,5.746,5.658875,16,0,0,0,566,57,0,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,144,160,E.1/结果/06_Librosa74/逐样本/-NFrJFQijFE$_$1.npz,042af112d70b8f637ca2ca28d096b898fc5c991586a3724040b9a5a4adc34cfc,E.1/结果/07_FaceLandmarker52/逐样本/-NFrJFQijFE$_$1.npz,a3c1a80268b7cd65864c1bc2d43c594fd48f2e003ac5b12e28e23ca4ac5ad044,E.1/结果/08_原文词级跨模态对齐/逐样本/-NFrJFQijFE$_$1.npz,8b6df96f9307b2b77627491470e6bbafc6a64482b989d386d6a57b5fa653c570
