sample_id,word_count,primary_time_word_count,audio_valid_word_count,audio_f0_valid_word_count,visual_valid_word_count,visual_nearest_candidate_word_count,audio_visual_both_valid_word_count,words_without_primary_time,timed_words_with_no_audio_frame,timed_words_with_no_visual_frame,timed_words_with_frames_but_no_valid_face,feature_file,feature_file_sha256
-3g5yACwYnA$_$13,15,14,14,11,14,0,14,1,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-3g5yACwYnA$_$13.npz,5ee0dc634a7072d830ea0cbde9e1d64c78f4b8d72bb71cfbd706a979c780737e
-3g5yACwYnA$_$3,29,25,25,23,24,1,24,4,0,1,0,结果/08_原文词级跨模态对齐/逐样本/-3g5yACwYnA$_$3.npz,6a8799c43e3bb673259ef1b639f33bbea3ffa34941af200c6ba4201723ee039a
-3g5yACwYnA$_$2,14,9,9,8,9,0,9,5,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-3g5yACwYnA$_$2.npz,a0ecf3b83b4b7ca8b03e8ce4f25f6fa81f14cb69cbab106bd32e767347ff8966
-3g5yACwYnA$_$9,23,22,22,22,22,0,22,1,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-3g5yACwYnA$_$9.npz,9567811f1fb96a13f2515af016fe47a093ac6ed2ba455ad78f9bf198dda85105
-3nNcZdcdvU$_$5,18,17,17,17,17,0,17,1,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-3nNcZdcdvU$_$5.npz,36abcd91ab80fb1d2422f36853da8596ccc25d206e89f37fe6b187ccbb41e922
-HwX2H8Z4hY$_$2,7,4,4,4,1,0,1,3,0,0,3,结果/08_原文词级跨模态对齐/逐样本/-HwX2H8Z4hY$_$2.npz,9807ad22d6e477f705ce3ba529424afe19ecafb1e922af596d119a07ef0e8fd8
-HwX2H8Z4hY$_$5,9,8,8,8,1,0,1,1,0,0,7,结果/08_原文词级跨模态对齐/逐样本/-HwX2H8Z4hY$_$5.npz,c77101088ab5ed671a7ac927de61f6e36217a66987fe03d5bc3e38be4e4ecd9a
-HwX2H8Z4hY$_$6,7,5,5,5,3,0,3,2,0,0,2,结果/08_原文词级跨模态对齐/逐样本/-HwX2H8Z4hY$_$6.npz,1bdde4e8671b40b61a05789d33c9d9b6402af6c1dbee2a293b77c161664d4dc5
-HwX2H8Z4hY$_$9,22,17,17,15,0,0,0,5,0,0,17,结果/08_原文词级跨模态对齐/逐样本/-HwX2H8Z4hY$_$9.npz,325ed4a579ef99575430e34e5f2163e4be8008ff98cffec9322f8f4a24cb2855
-NFrJFQijFE$_$1,16,0,0,0,0,0,0,16,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-NFrJFQijFE$_$1.npz,8b6df96f9307b2b77627491470e6bbafc6a64482b989d386d6a57b5fa653c570
-NFrJFQijFE$_$2,18,0,0,0,0,0,0,18,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-NFrJFQijFE$_$2.npz,3869bf20233c1f48166a89ccd6d398fc7c45ffc4f0e7e416cc23008a21e2dde4
-THoVjtIkeU$_$12,39,35,35,35,35,0,35,4,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-THoVjtIkeU$_$12.npz,a4dbf6867ad1b4ce0d098aaa0828c0bae757e563aa131ffc05a5cc5dac878df3
-THoVjtIkeU$_$2,10,10,10,10,9,1,9,0,0,1,0,结果/08_原文词级跨模态对齐/逐样本/-THoVjtIkeU$_$2.npz,f51deed570b0c95c9fc796ba64e589ebcb1f4ec0b5f1832b0e55df25c6858575
-THoVjtIkeU$_$6,30,25,25,25,25,0,25,5,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-THoVjtIkeU$_$6.npz,800468eee1260e233d4d554599d9cb278de93891e73fb56aa0a3efc0edb47076
-UuX1xuaiiE$_$1,27,24,24,19,0,0,0,3,0,1,23,结果/08_原文词级跨模态对齐/逐样本/-UuX1xuaiiE$_$1.npz,bdb8d69c241c4733610cbb622e87c67f1daa1d8d853f821053138a00ebd6cdf3
-UuX1xuaiiE$_$0,9,9,9,6,6,0,6,0,0,1,2,结果/08_原文词级跨模态对齐/逐样本/-UuX1xuaiiE$_$0.npz,83540b9a0b717d3c1c486017fe4b7a64f19dc744a7dd897c50b2d10a8334b26f
-UuX1xuaiiE$_$3,9,7,7,7,7,0,7,2,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-UuX1xuaiiE$_$3.npz,b8c4373482b2a966cd5f479f86f1a7e3d78ce68aa20a66727a9fc186286af380
-UuX1xuaiiE$_$6,22,20,20,20,18,2,18,2,0,2,0,结果/08_原文词级跨模态对齐/逐样本/-UuX1xuaiiE$_$6.npz,704a1c4a96369342448b0b80c7ee07048816f88c3c8f082b459fbf8dbb18ae18
-a55Q6RWvTA$_$3,65,64,64,63,61,3,61,1,0,3,0,结果/08_原文词级跨模态对齐/逐样本/-a55Q6RWvTA$_$3.npz,736a2e25819a91c0cce24cfe0191bf50c4e92d782a2e905574f025f60b75fe44
-aNfi7CP8vM$_$7,18,18,18,17,18,0,18,0,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-aNfi7CP8vM$_$7.npz,64ac8af1dfe45efa31b2ec9e041adc7a04211783ef72c194762a96034084c068
-aqamKhZ1Ec$_$0,14,12,12,12,12,0,12,2,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-aqamKhZ1Ec$_$0.npz,8c028974aa3124f84782a51d29a3696ce2fd5a9402ecf83a11c7c49f6bcec4de
-dxfTGcXJoc$_$1,36,35,35,27,35,0,35,1,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-dxfTGcXJoc$_$1.npz,a75a4b51e1afa661579fdb784143cf0298691cbe59f4ad59c3f24ea424f722a4
-dxfTGcXJoc$_$0,42,0,0,0,0,0,0,42,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-dxfTGcXJoc$_$0.npz,3f09673e0edabe62e8a59cf00ded9189c492b0b785a1779c3bbb5693d109d32d
-dxfTGcXJoc$_$2,35,33,33,23,33,0,33,2,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-dxfTGcXJoc$_$2.npz,911587e154b7d022c105ecf92ace3a739a3b65a4614dde978e123aeddacfceb2
-dxfTGcXJoc$_$6,28,27,27,17,27,0,27,1,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-dxfTGcXJoc$_$6.npz,b8947d97ecd8f6e6a298301cb83ae37274495b3385053ccc164bb0dbc3b3ccd0
-egA8-b7-3M$_$26,15,14,14,14,14,0,14,1,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$26.npz,130a013615857288265d23c0232efc994330809d3b6c32c226f450d0b100183b
-egA8-b7-3M$_$17,16,15,15,15,15,0,15,1,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$17.npz,38b46f813f0216d2119046636dcfd6895937e932f1520f1d303c56bc308c4ce4
-egA8-b7-3M$_$18,22,20,20,20,20,0,20,2,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$18.npz,bc6002b2dff217bf97a86a9b6b07d54910d26295d986fd52f338e751a2572287
-egA8-b7-3M$_$16,11,11,11,11,11,0,11,0,0,0,0,结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$16.npz,863d62c43223ac869d19ceeafbad7452599b25ec044b29067a4f5ad97b89cf9d
-egA8-b7-3M$_$13,11,10,10,10,9,1,9,1,0,1,0,结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$13.npz,f84816271083a7db0949d30ff7c445231802045b4b8627130bfe699b3c8f00ca
