feature_row_0based,sample_id,official_word_index,official_word,text_char_start_0based,text_char_end_exclusive,bert_token_positions_0based,bert_wordpieces,bert_subword_count,text_feature_valid_mask,final_primary_start_time_wav_s,final_primary_end_time_wav_s,final_primary_valid_mask,timestamp_status
0,-3g5yACwYnA$_$13,1,They've,0,7,1;2;3,they ' ve,3,1,,,0,official_word_unmatched_or_ambiguous_in_asr
1,-3g5yACwYnA$_$13,2,been,8,12,4,been,1,1,1.5800000429153442,1.7000000476837158,1,mfa_primary_unique_word_overlap_auto_qc_pass
2,-3g5yACwYnA$_$13,3,able,13,17,5,able,1,1,1.7000000476837158,1.909999966621399,1,mfa_primary_unique_word_overlap_auto_qc_pass
3,-3g5yACwYnA$_$13,4,to,18,20,6,to,1,1,1.909999966621399,2.049999952316284,1,mfa_primary_unique_word_overlap_auto_qc_pass
4,-3g5yACwYnA$_$13,5,find,21,25,7,find,1,1,2.049999952316284,2.4100000858306885,1,mfa_primary_unique_word_overlap_auto_qc_pass
5,-3g5yACwYnA$_$13,6,solutions,26,35,8,solutions,1,1,2.4100000858306885,2.9600000381469727,1,mfa_primary_unique_word_overlap_auto_qc_pass
6,-3g5yACwYnA$_$13,7,or,36,38,9,or,1,1,3.0999999046325684,3.1600000858306885,1,mfa_primary_unique_word_overlap_auto_qc_pass
7,-3g5yACwYnA$_$13,8,at,39,41,10,at,1,1,3.1600000858306885,3.259999990463257,1,mfa_primary_unique_word_overlap_auto_qc_pass
8,-3g5yACwYnA$_$13,9,least,42,47,11,least,1,1,3.259999990463257,3.4700000286102295,1,mfa_primary_unique_word_overlap_auto_qc_pass
9,-3g5yACwYnA$_$13,10,bring,48,53,12,bring,1,1,3.4700000286102295,3.75,1,mfa_primary_unique_word_overlap_auto_qc_pass
10,-3g5yACwYnA$_$13,11,some,54,58,13,some,1,1,3.75,4.010000228881836,1,mfa_primary_unique_word_overlap_auto_qc_pass
11,-3g5yACwYnA$_$13,12,answers,59,66,14,answers,1,1,4.010000228881836,4.369999885559082,1,mfa_primary_unique_word_overlap_auto_qc_pass
12,-3g5yACwYnA$_$13,13,to,67,69,15,to,1,1,4.369999885559082,4.539999961853027,1,mfa_primary_unique_word_overlap_auto_qc_pass
13,-3g5yACwYnA$_$13,14,the,70,73,16,the,1,1,4.599999904632568,4.659999847412109,1,mfa_primary_unique_word_overlap_auto_qc_pass
14,-3g5yACwYnA$_$13,15,table,74,79,17,table,1,1,4.659999847412109,4.869999885559082,1,mfa_primary_unique_word_overlap_auto_qc_pass
15,-3g5yACwYnA$_$3,1,We're,0,5,1;2;3,we ' re,3,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
16,-3g5yACwYnA$_$3,2,a,6,7,4,a,1,1,1.159999966621399,1.309999942779541,1,mfa_primary_unique_word_overlap_auto_qc_pass
17,-3g5yACwYnA$_$3,3,huge,8,12,5,huge,1,1,1.309999942779541,1.840000033378601,1,mfa_primary_unique_word_overlap_auto_qc_pass
18,-3g5yACwYnA$_$3,4,user,13,17,6,user,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
19,-3g5yACwYnA$_$3,5,of,18,20,7,of,1,1,2.940000057220459,3.0199999809265137,1,mfa_primary_unique_word_overlap_auto_qc_pass
20,-3g5yACwYnA$_$3,6,adhesives,21,30,8;9;10,ad ##hesive ##s,3,1,3.0199999809265137,3.490000009536743,1,mfa_primary_unique_word_overlap_auto_qc_pass
21,-3g5yACwYnA$_$3,7,for,31,34,11,for,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
22,-3g5yACwYnA$_$3,8,our,35,38,12,our,1,1,4.380000114440918,4.690000057220459,1,mfa_primary_unique_word_overlap_auto_qc_pass
23,-3g5yACwYnA$_$3,9,operation,39,48,13,operation,1,1,4.690000057220459,5.260000228881836,1,mfa_primary_unique_word_overlap_auto_qc_pass
24,-3g5yACwYnA$_$3,10,called,50,56,15,called,1,1,5.630000114440918,5.820000171661377,1,mfa_primary_unique_word_overlap_auto_qc_pass
25,-3g5yACwYnA$_$3,11,flocking,57,65,16;17,flock ##ing,2,1,5.820000171661377,6.289999961853027,1,mfa_primary_unique_word_overlap_auto_qc_pass
26,-3g5yACwYnA$_$3,12,and,67,70,19,and,1,1,6.420000076293945,6.809999942779541,1,mfa_primary_unique_word_overlap_auto_qc_pass
27,-3g5yACwYnA$_$3,13,we,71,73,20,we,1,1,6.960000038146973,7.110000133514404,1,mfa_primary_unique_word_overlap_auto_qc_pass
28,-3g5yACwYnA$_$3,14,don't,74,79,21;22;23,don ' t,3,1,7.110000133514404,7.25,1,mfa_primary_unique_word_overlap_auto_qc_pass
29,-3g5yACwYnA$_$3,15,have,80,84,24,have,1,1,7.25,7.349999904632568,1,mfa_primary_unique_word_overlap_auto_qc_pass
30,-3g5yACwYnA$_$3,16,the,85,88,25,the,1,1,7.349999904632568,7.429999828338623,1,mfa_primary_unique_word_overlap_auto_qc_pass
