id,pred_label,pred_score,main_modality,audio_start_s,audio_end_s,audio_span_s,duration_s,audio_rms_pct,audio_peaks_in,语音判读,语音备注,keyframe_file,kf_time,视觉判读,视觉备注
01,Neutral,0.1442,vision,0.00,1.17,1.17,8.93,53,0,一般,窗口 RMS 处于全片第 53 百分位；覆盖全片前三能量峰 0/3,01_kf.jpg,1.37,合理,人物近景（汽配工作台前），面部清晰可辨
02,Positive,0.4062,text,2.97,3.49,0.52,3.27,6,0,偏弱,窗口 RMS 处于全片第 6 百分位；覆盖全片前三能量峰 0/3,02_kf.jpg,3.23,合理,黑白人物肖像，面部清晰、表情可辨
03,Neutral,-0.2985,text,5.11,5.97,0.86,9.53,54,0,一般,窗口 RMS 处于全片第 54 百分位；覆盖全片前三能量峰 0/3,03_kf.jpg,2.98,合理,人物近景正对镜头
04,Negative,-0.4443,text,0.52,2.85,2.33,6.78,62,1,合理,窗口 RMS 处于全片第 62 百分位；覆盖全片前三能量峰 1/3,04_kf.jpg,0.91,合理,演播室内人物 + 屏幕图文叠加，面部可辨
05,Positive,0.6404,text,0.00,2.29,2.29,5.97,53,0,一般,窗口 RMS 处于全片第 53 百分位；覆盖全片前三能量峰 0/3,05_kf.jpg,2.48,合理,人物近景，面部与口型清晰
06,Positive,0.8369,text,1.15,1.85,0.70,8.12,72,0,合理,窗口 RMS 处于全片第 72 百分位；覆盖全片前三能量峰 0/3,06_kf.jpg,1.85,合理,人物近景（沙发），面部可辨
07,Positive,0.6441,text,0.00,6.10,6.10,21.23,72,1,合理,窗口 RMS 处于全片第 72 百分位；覆盖全片前三能量峰 1/3,07_kf.jpg,5.01,一般,分屏画面：会场听众 + 主讲人，人物占比小、表情细节有限
08,Positive,0.588,text,1.27,4.67,3.40,4.88,61,3,合理,窗口 RMS 处于全片第 61 百分位；覆盖全片前三能量峰 3/3,08_kf.jpg,4.03,合理,讲台发言场景，面部可辨（中景）
09,Negative,-2.3557,text,1.86,2.65,0.79,4.92,55,0,一般,窗口 RMS 处于全片第 55 百分位；覆盖全片前三能量峰 0/3,09_kf.jpg,1.73,合理,人物近景并持物（DVD），面部清晰
10,Negative,-1.2545,text,0.00,7.37,7.37,9.72,58,3,合理,窗口 RMS 处于全片第 58 百分位；覆盖全片前三能量峰 3/3,10_kf.jpg,2.41,合理,人物近景，面部清晰
11,Negative,-0.5921,text,4.64,5.80,1.16,5.72,57,0,一般,窗口 RMS 处于全片第 57 百分位；覆盖全片前三能量峰 0/3,11_kf.jpg,1.35,合理,人物近景（旁有电视画面），面部可辨
12,Negative,-0.8497,text,0.00,6.96,6.96,12.82,61,1,合理,窗口 RMS 处于全片第 61 百分位；覆盖全片前三能量峰 1/3,12_kf.jpg,5.0,合理,办公室中人物半身，面部清晰
13,Neutral,0.2921,text,3.64,6.16,2.52,8.62,60,0,一般,窗口 RMS 处于全片第 60 百分位；覆盖全片前三能量峰 0/3,13_kf.jpg,4.34,未命中,房间全景、逆光，面部不可辨（视觉证据信息量低）
14,Neutral,0.4099,vision,0.00,0.86,0.86,10.18,44,0,一般,窗口 RMS 处于全片第 44 百分位；覆盖全片前三能量峰 0/3,14_kf.jpg,4.03,一般,舞台远景，人物较小、面部细节有限
15,Positive,1.1036,text,0.33,1.33,1.00,7.28,65,1,合理,窗口 RMS 处于全片第 65 百分位；覆盖全片前三能量峰 1/3,15_kf.jpg,0.34,合理,人物近景，面部清晰
16,Negative,-2.4917,text,0.00,0.78,0.78,2.98,27,0,偏弱,窗口 RMS 处于全片第 27 百分位；覆盖全片前三能量峰 0/3,16_kf.jpg,0.91,合理,人物近景（戴眼镜），面部清晰
17,Positive,1.553,text,0.00,5.03,5.03,9.53,52,0,一般,窗口 RMS 处于全片第 52 百分位；覆盖全片前三能量峰 0/3,17_kf.jpg,0.58,合理,人物近景 + 白板图文，面部清晰
18,Neutral,-0.2661,text,3.07,6.91,3.84,18.57,53,0,一般,窗口 RMS 处于全片第 53 百分位；覆盖全片前三能量峰 0/3,18_kf.jpg,0.19,合理,人物中景（持展板），面部可辨
19,Negative,-0.048,text,0.34,7.52,7.18,13.57,55,1,合理,窗口 RMS 处于全片第 55 百分位；覆盖全片前三能量峰 1/3,19_kf.jpg,0.51,合理,人物近景，面部清晰
20,Positive,0.9016,text,0.00,1.99,1.99,10.78,45,1,合理,窗口 RMS 处于全片第 45 百分位；覆盖全片前三能量峰 1/3,20_kf.jpg,0.87,合理,办公场景人物近景，面部清晰
