sample_id,official_word_index,official_word,whisper_token_index,whisper_word_index,whisper_word,start_time_wav_s,end_time_wav_s,start_time_source_s,end_time_source_s,word_probability,mapping_method,timestamp_source,timestamp_status,word_time_valid_mask,automatic_flags
-3g5yACwYnA$_$13,1,They've,,,,,,,,,mandatory_unique_pair_in_all_optimal_LCS,,official_word_unmatched_or_ambiguous,False,
-3g5yACwYnA$_$13,2,been,6,6,been,1.62,1.68,1.62,1.68,0.995320737361908,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,3,able,7,7,able,1.68,1.88,1.68,1.88,0.999386191368103,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,4,to,8,8,to,1.88,2.06,1.88,2.06,0.9981871247291565,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,5,find,9,9,find,2.06,2.36,2.06,2.36,0.991510808467865,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,6,solutions,10,10,solutions,2.36,2.78,2.36,2.78,0.9909831285476685,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,7,or,11,11,or,2.78,3.14,2.78,3.14,0.8819648027420044,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,8,at,12,12,at,3.14,3.24,3.14,3.24,0.990532636642456,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,9,least,13,13,least,3.24,3.34,3.24,3.34,0.9952493906021118,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,10,bring,14,14,bring,3.34,3.68,3.34,3.68,0.9788424372673035,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,11,some,15,15,some,3.68,3.94,3.68,3.94,0.9827365875244141,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,12,answers,16,16,answers,3.94,4.24,3.94,4.24,0.9956938028335571,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,13,to,17,17,to,4.24,4.46,4.24,4.46,0.9983453750610352,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,14,the,18,18,the,4.46,4.56,4.46,4.56,0.996638298034668,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$13,15,table,19,19,table,4.56,4.82,4.56,4.82,0.99788898229599,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$3,1,We're,1,1,We're,0.0,1.06,0.0,1.06,0.7139979004859924,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$3,2,a,2,2,a,1.06,1.32,1.06,1.32,0.9906180500984192,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$3,3,huge,3,3,huge,1.32,1.7,1.32,1.7,0.9983129501342773,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$3,4,user,4,4,user,1.7,2.84,1.7,2.84,0.9808989763259888,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$3,5,of,5,5,of,2.84,3.04,2.84,3.04,0.9947952628135681,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$3,6,adhesives,6,6,adhesives,3.04,3.54,3.04,3.54,0.8776948054631551,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
-3g5yACwYnA$_$3,7,for,7,7,for,3.54,4.38,3.54,4.38,0.9803305268287659,mandatory_unique_pair_in_all_optimal_LCS,Whisper small.en word timestamp estimate,partial_whisper_estimate_auto_qc_pass,True,
