sample_id,transcript_group,official_word_count,whisper_word_count,official_whisper_exact_match,mfa_alignment_output_present,official_to_asr_unique_mappings,asr_to_mfa_unique_mappings,mfa_candidate_word_times,selected_primary_word_times,unmapped_words,flagged_mfa_intervals,flagged_whisper_mfa_discrepancies,median_mfa_whisper_edge_difference_s
-3g5yACwYnA$_$13,text_mismatch,15,19,False,True,14,19,14,14,1,0,0,0.12999988555908182
-3g5yACwYnA$_$3,text_mismatch,29,34,False,True,28,34,28,25,1,0,3,0.1000002288818358
-3g5yACwYnA$_$2,exact_text,14,14,True,True,14,14,14,9,0,0,5,0.26000020980835004
-3g5yACwYnA$_$9,text_mismatch,23,24,False,True,23,24,23,22,0,0,1,0.1000001907348631
-3nNcZdcdvU$_$5,text_mismatch,18,19,False,True,17,19,17,17,1,0,0,0.11000001907348622
-HwX2H8Z4hY$_$2,text_mismatch,7,5,False,True,4,5,4,4,3,0,0,0.12000007629394549
-HwX2H8Z4hY$_$5,exact_text,9,9,True,True,9,9,9,8,0,0,1,0.13999995231628426
-HwX2H8Z4hY$_$6,text_mismatch,7,7,False,True,6,7,6,5,1,0,1,0.12999995231628425
-HwX2H8Z4hY$_$9,text_mismatch,22,25,False,True,21,25,21,17,1,0,4,0.10000000953674326
-NFrJFQijFE$_$1,empty_asr,16,0,False,False,0,0,0,0,0,0,0,
-NFrJFQijFE$_$2,text_mismatch,18,10,False,True,0,10,0,0,18,0,0,
-THoVjtIkeU$_$12,text_mismatch,39,38,False,True,37,38,37,35,2,0,2,0.10999992370605405
-THoVjtIkeU$_$2,exact_text,10,10,True,True,10,10,10,10,0,0,0,0.11999993324279767
-THoVjtIkeU$_$6,text_mismatch,30,27,False,True,25,27,25,25,5,0,0,0.11000017166137699
-UuX1xuaiiE$_$1,exact_text,27,27,True,True,27,27,27,24,0,0,3,0.12000013351440408
-UuX1xuaiiE$_$0,exact_text,9,9,True,True,9,9,9,9,0,0,0,0.2600000119209289
-UuX1xuaiiE$_$3,exact_text,9,9,True,True,9,9,9,7,0,0,2,0.11999998092651365
-UuX1xuaiiE$_$6,text_mismatch,22,23,False,True,21,23,21,20,1,0,1,0.07000002861022958
-a55Q6RWvTA$_$3,exact_text,65,65,True,True,65,65,65,64,0,0,1,0.0900000071525574
-aNfi7CP8vM$_$7,exact_text,18,18,True,True,18,18,18,18,0,0,0,0.11999977111816396
-aqamKhZ1Ec$_$0,text_mismatch,14,16,False,True,14,16,14,12,0,0,2,0.19999965667724595
-dxfTGcXJoc$_$1,text_mismatch,36,36,False,True,35,36,35,35,1,0,0,0.13000020980834925
-dxfTGcXJoc$_$0,text_mismatch,42,50,False,False,41,0,0,0,0,0,0,
-dxfTGcXJoc$_$2,exact_text,35,35,True,True,35,35,35,33,0,0,2,0.13000011444091797
-dxfTGcXJoc$_$6,exact_text,28,28,True,True,28,28,28,27,0,0,1,0.13999988555908205
-egA8-b7-3M$_$26,text_mismatch,15,16,False,True,14,16,14,14,1,0,0,0.15999991416931136
-egA8-b7-3M$_$17,exact_text,16,16,True,True,16,16,16,15,0,0,1,0.04999995231628418
-egA8-b7-3M$_$18,exact_text,22,22,True,True,22,22,22,20,0,0,2,0.110000104904175
-egA8-b7-3M$_$16,exact_text,11,11,True,True,11,11,11,11,0,0,0,0.20000002861022947
-egA8-b7-3M$_$13,exact_text,11,11,True,True,11,11,11,10,0,0,1,0.0699999809265135
-egA8-b7-3M$_$1,text_mismatch,20,21,False,True,20,21,20,18,0,0,2,0.14000013351440455
-egA8-b7-3M$_$6,exact_text,12,12,True,True,12,12,12,12,0,0,0,0.25000004768371564
-egA8-b7-3M$_$9,exact_text,10,10,True,True,10,10,10,10,0,0,0,0.17999990463256843
-egA8-b7-3M$_$20,exact_text,20,20,True,True,20,20,20,19,0,0,1,0.09999994277954105
-iRBcNs9oI8$_$3,text_mismatch,8,14,False,True,1,14,1,1,7,0,0,0.36000001430511475
-iRBcNs9oI8$_$7,text_mismatch,9,11,False,True,0,11,0,0,9,0,0,
-iRBcNs9oI8$_$6,text_mismatch,5,9,False,True,0,9,0,0,5,0,0,
-iRBcNs9oI8$_$9,text_mismatch,5,3,False,True,1,3,1,0,4,0,1,0.9199999713897705
-iRBcNs9oI8$_$8,text_mismatch,21,22,False,True,1,22,1,1,20,0,0,0.14000011444091776
-lzEya4AM_4$_$5,text_mismatch,19,18,False,True,18,18,18,17,1,0,1,0.11000000953674327
-lzEya4AM_4$_$6,text_mismatch,43,42,False,True,40,42,40,39,3,0,1,0.11000003814697301
-mJ2ud6oKI8$_$1,text_mismatch,13,1,False,True,0,1,0,0,13,0,0,
-mJ2ud6oKI8$_$2,text_mismatch,11,1,False,True,0,1,0,0,11,0,0,
-mJ2ud6oKI8$_$6,text_mismatch,5,8,False,True,1,8,1,1,4,0,0,0.060000009536743115
-mJ2ud6oKI8$_$9,text_mismatch,22,21,False,True,2,21,2,2,20,0,0,0.28000005722045884
-mJ2ud6oKI8$_$8,text_mismatch,11,15,False,True,1,15,1,1,10,0,0,0.2599999713897705
-mqbVkbCndg$_$0,exact_text,14,14,True,True,14,14,14,14,0,0,0,0.2099999523162841
-t217m2on-s$_$2,exact_text,12,12,True,True,12,12,12,10,0,0,2,0.29999995708465566
-t217m2on-s$_$7,exact_text,45,45,True,True,45,45,45,40,0,0,5,0.08999997615814204
-tANM6ETl_M$_$3,text_mismatch,22,21,False,True,21,21,21,20,1,0,1,0.08999977111816371
-tPCytz4rww$_$11,text_mismatch,17,18,False,True,12,18,12,11,5,0,1,0.05000000476837163
-tPCytz4rww$_$10,text_mismatch,12,14,False,True,10,14,10,10,2,0,0,0.05999988555908198
-tPCytz4rww$_$12,text_mismatch,26,26,False,True,20,26,20,17,6,0,3,0.14000020980834993
-tPCytz4rww$_$16,text_mismatch,16,19,False,True,14,19,14,13,2,0,1,0.09999992370605426
-tPCytz4rww$_$18,text_mismatch,16,24,False,False,16,0,0,0,0,0,0,
-vxjVxOeScU$_$4,exact_text,21,21,True,True,21,21,21,21,0,0,0,0.17000004768371602
-wMB_hJL-3o$_$7,exact_text,22,22,True,True,22,22,22,22,0,0,0,0.05999999046325666
