sample_id,official_word_index,official_word,text_feature_row_0based,word_start_wav_s,word_end_wav_s,word_start_source_s,word_end_source_s,timestamp_evidence_tier,timestamp_status,text_valid_mask,word_time_valid_mask,audio_valid_mask,audio_f0_valid_mask,visual_valid_mask,visual_nearest_candidate_mask,audio_frame_start_index_0based,audio_frame_end_index_exclusive,audio_frame_count,f0_voiced_frame_count,visual_frame_start_index_0based,visual_frame_end_index_exclusive,visual_frame_count,visual_valid_face_frame_count,visual_status,nearest_visual_frame_index_0based,nearest_visual_distance_to_interval_s
-3g5yACwYnA$_$13,1,They've,0,,,,,,official_word_unmatched_or_ambiguous_in_asr,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$13,2,been,1,1.5800000429153442,1.7000000476837158,1.5800000429153442,1.7000000476837158,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,159,171,12,12,16,18,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,3,able,2,1.7000000476837158,1.909999966621399,1.7000000476837158,1.909999966621399,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,171,191,20,20,18,20,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,4,to,3,1.909999966621399,2.049999952316284,1.909999966621399,2.049999952316284,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,191,205,14,13,20,21,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,5,find,4,2.049999952316284,2.4100000858306885,2.049999952316284,2.4100000858306885,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,205,242,37,15,21,25,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,6,solutions,5,2.4100000858306885,2.9600000381469727,2.4100000858306885,2.9600000381469727,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,242,297,55,50,25,30,5,5,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,7,or,6,3.0999999046325684,3.1600000858306885,3.0999999046325684,3.1600000858306885,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,310,317,7,7,31,32,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,8,at,7,3.1600000858306885,3.259999990463257,3.1600000858306885,3.259999990463257,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,317,326,9,9,32,33,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,9,least,8,3.259999990463257,3.4700000286102295,3.259999990463257,3.4700000286102295,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,326,348,22,2,33,35,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,10,bring,9,3.4700000286102295,3.75,3.4700000286102295,3.75,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,348,375,27,27,35,38,3,3,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,11,some,10,3.75,4.010000228881836,3.75,4.010000228881836,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,375,402,27,22,38,41,3,3,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,12,answers,11,4.010000228881836,4.369999885559082,4.010000228881836,4.369999885559082,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,402,437,35,16,41,44,3,3,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,13,to,12,4.369999885559082,4.539999961853027,4.369999885559082,4.539999961853027,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,0,1,0,437,454,17,0,44,46,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,14,the,13,4.599999904632568,4.659999847412109,4.599999904632568,4.659999847412109,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,0,1,0,460,466,6,0,46,47,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$13,15,table,14,4.659999847412109,4.869999885559082,4.659999847412109,4.869999885559082,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,0,1,0,466,487,21,0,47,49,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,1,We're,15,,,,,B_unique_word_overlap_in_mismatched_transcript,mfa_whisper_discrepancy_over_0_5s_null_primary,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$3,2,a,16,1.159999966621399,1.309999942779541,1.159999966621399,1.309999942779541,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,116,131,15,15,12,14,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,3,huge,17,1.309999942779541,1.840000033378601,1.309999942779541,1.840000033378601,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,131,185,54,36,14,19,5,5,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,4,user,18,,,,,B_unique_word_overlap_in_mismatched_transcript,mfa_whisper_discrepancy_over_0_5s_null_primary,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$3,5,of,19,2.940000057220459,3.0199999809265137,2.940000057220459,3.0199999809265137,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,295,302,7,7,30,31,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,6,adhesives,20,3.0199999809265137,3.490000009536743,3.0199999809265137,3.490000009536743,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,302,350,48,42,31,35,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,7,for,21,,,,,B_unique_word_overlap_in_mismatched_transcript,mfa_whisper_discrepancy_over_0_5s_null_primary,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$3,8,our,22,4.380000114440918,4.690000057220459,4.380000114440918,4.690000057220459,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,439,470,31,24,44,47,3,3,in_interval_valid_face,-1,
