sample_id,official_transcript,whisper_transcript,official_token_count,whisper_token_count,substitutions,official_words_missing_from_whisper,extra_whisper_words,word_error_rate,critical_token_mismatch_count,normalized_sequence_exact,whisper_word_timestamp_count,whisper_nonlexical_timestamp_item_count,whisper_text_matches_timed_word_sequence,whisper_word_timestamp_flag_count,whisper_word_timestamp_flags,mfa_gate,automatic_reason,source_audio_start_s,audio_duration_s,language_probability,mean_word_probability
-3g5yACwYnA$_$13,They've been able to find solutions or at least bring some answers to the table.,that we do. They have been able to find solutions or at least bring some answers to the table.,15,19,1,0,4,0.333333,0,False,19,0,True,0,,text_mismatch_no_align,归一化词序列存在插入、漏词或替换；不对原文强制对齐,0.0,5.399,1.0,0.9617785497715599
-3g5yACwYnA$_$3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.","We're a huge user of adhesives for our operation called flocking, and we don't have the technical insight in for compounding or the technical expertise to do these types of things. So, key brings.",29,34,1,0,5,0.206897,0,False,34,0,True,1,nonpositive_duration,text_mismatch_no_align,归一化词序列存在插入、漏词或替换；不对原文强制对齐,0.0,14.327875,1.0,0.8748219807942709
-3g5yACwYnA$_$2,Key Polymer brings a technical aspect to our operation that we don't have internally.,key polymer brings a technical aspect to our operation that we don't have internally.,14,14,0,0,0,0.0,0,True,14,0,True,0,,candidate_for_mfa_auto_screen,忽略大小写和标点后词序列完全一致,0.0,9.231,1.0,0.8426443764141628
-3g5yACwYnA$_$9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.","Like, we have many new opportunities through the way things have changed through the years, looking for new niche, high-end value-added products.",23,24,0,0,1,0.043478,0,False,24,0,True,0,,text_mismatch_no_align,归一化词序列存在插入、漏词或替换；不对原文强制对齐,0.0,8.696,1.0,0.9232148267328739
-3nNcZdcdvU$_$5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,Non-compliance can result in legal liability to you and to the school district in which you are employed.,18,19,1,0,1,0.111111,0,False,19,0,True,0,,text_mismatch_no_align,归一化词序列存在插入、漏词或替换；不对原文强制对齐,0.0,7.788,1.0,0.9399885111733487
-HwX2H8Z4hY$_$2,"” [President Ronald Reagan:] ""Look at the record",mediocrity. Look at the record.,7,5,1,2,0,0.428571,0,False,5,0,True,0,,text_mismatch_no_align,归一化词序列存在插入、漏词或替换；不对原文强制对齐,0.0,3.9158125,1.0,0.9574025273323059
-HwX2H8Z4hY$_$5,""" President Ronald Reagan blamed the professional bureaucracy of education",President Ronald Reagan blamed the professional bureaucracy of education.,9,9,0,0,0,0.0,0,True,9,0,True,0,,candidate_for_mfa_auto_screen,忽略大小写和标点后词序列完全一致,0.0,5.544,1.0,0.9497733049922519
-HwX2H8Z4hY$_$6,"And in part, Al Shanker did too","And in part, Al Schenker did too.",7,7,1,0,0,0.142857,0,False,7,0,True,0,,text_mismatch_no_align,归一化词序列存在插入、漏词或替换；不对原文强制对齐,0.0,3.256,1.0,0.8655541085061573
-HwX2H8Z4hY$_$9,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,It is a word with which the administrator uses when he turns around anything which he doesn't like the teacher is doing he says you,22,25,0,1,4,0.227273,0,False,25,0,True,1,very_long_duration_review,text_mismatch_no_align,归一化词序列存在插入、漏词或替换；不对原文强制对齐,0.0,7.6363125,1.0,0.8429640901088714
-NFrJFQijFE$_$1,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,,16,0,0,16,0,1.0,0,False,0,0,True,0,,asr_empty_no_align,Whisper未输出文本,0.0,5.658875,1.0,
