mfa_utterance_id,sample_id,video_id,clip_id,official_transcript,wav_path,lab_path,wav_sha256,audio_duration_s,wav_zero_maps_to_source_time_s,selection_reason
sample_0001,-3g5yACwYnA$_$2,-3g5yACwYnA,2,Key Polymer brings a technical aspect to our operation that we don't have internally.,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0001.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0001.lab,7f8a14e3912b5e5c95bfb0e85c69731e680a9e9f4a4b35260f7bd7bb531b39dd,9.231,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0002,-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,""" President Ronald Reagan blamed the professional bureaucracy of education",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0002.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0002.lab,3707bda1abd6ffdd9292771bf312a8d19b4826f4387572101a2b99759c979b83,5.544,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0003,-THoVjtIkeU$_$2,-THoVjtIkeU,2,I think social justice is extremely important for young people.,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0003.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0003.lab,d23531e26b790a3d88958fd589b56be32f0f72e04e2ba431110d3b647831683a,4.23,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0004,-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0004.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0004.lab,2e567b4f734d4bed4ddbfd9fa79e2901b32c437411ce4579274040baece5d76b,10.267,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0005,-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,^it's amazing to see their enthusiasm and their passion,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0005.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0005.lab,e89204f913deaf701f90605bfadf37fea2c4c33504500c3c5306f620c5e7fce6,3.575875,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0006,-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,My goal is to become a human rights lawyer,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0006.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0006.lab,e30c5f4541a60031864b5d8379a8de30641ac7ba8d025b6512c727cb3a2a47bb,4.038,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0007,-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0007.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0007.lab,8b85cd9e18f0656e0e4aefc49f03ff83e12394aef1114ed2ff8feaa0b090be5b,22.0833125,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0008,-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0008.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0008.lab,9008e5f7ec84b6c9a36db45b2bc38679efd7e3ab92ef727614786c43a2177d22,8.5376875,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0009,-dxfTGcXJoc$_$2,-dxfTGcXJoc,2,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0009.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0009.lab,e6f9281095e639967f513b0fe4466ca33407638fe20d11cd5c7d2a9473495eaa,16.633,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0010,-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0010.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0010.lab,100774f7587553a4014639a9006f8a31df5262c9b389e0316994b9ea7f5ede8e,12.628,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
