sample_id,transcript_group,official_word_index,official_word,whisper_token_index,mfa_token_index,mfa_word,mfa_tier_word_index,mfa_candidate_start_time_wav_s,mfa_candidate_end_time_wav_s,mfa_candidate_start_time_source_s,mfa_candidate_end_time_source_s,whisper_start_time_wav_s,whisper_end_time_wav_s,mfa_whisper_max_edge_difference_s,mfa_mapping_method,timestamp_status,timestamp_evidence_tier,timestamp_source,mfa_whisper_discrepancy_over_0_5s,final_primary_start_time_wav_s,final_primary_end_time_wav_s,final_primary_start_time_source_s,final_primary_end_time_source_s,final_primary_valid_mask,candidate_valid_mask,automatic_flags,mfa_alignment_file
-3g5yACwYnA$_$13,text_mismatch,1,They've,,,,,,,,,,,,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,official_word_unmatched_or_ambiguous_in_asr,,,False,,,,,False,False,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,2,been,6,6,been,6,1.5800000429153442,1.7000000476837158,1.5800000429153442,1.7000000476837158,1.62,1.68,0.03999995708465587,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,1.5800000429153442,1.7000000476837158,1.5800000429153442,1.7000000476837158,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,3,able,7,7,able,7,1.7000000476837158,1.909999966621399,1.7000000476837158,1.909999966621399,1.68,1.88,0.029999966621399032,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,1.7000000476837158,1.909999966621399,1.7000000476837158,1.909999966621399,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,4,to,8,8,to,8,1.909999966621399,2.049999952316284,1.909999966621399,2.049999952316284,1.88,2.06,0.029999966621399032,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,1.909999966621399,2.049999952316284,1.909999966621399,2.049999952316284,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,5,find,9,9,find,9,2.049999952316284,2.4100000858306885,2.049999952316284,2.4100000858306885,2.06,2.36,0.0500000858306886,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,2.049999952316284,2.4100000858306885,2.049999952316284,2.4100000858306885,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,6,solutions,10,10,solutions,10,2.4100000858306885,2.9600000381469727,2.4100000858306885,2.9600000381469727,2.36,2.78,0.18000003814697285,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,2.4100000858306885,2.9600000381469727,2.4100000858306885,2.9600000381469727,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,7,or,11,11,or,11,3.0999999046325684,3.1600000858306885,3.0999999046325684,3.1600000858306885,2.78,3.14,0.31999990463256855,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,3.0999999046325684,3.1600000858306885,3.0999999046325684,3.1600000858306885,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,8,at,12,12,at,12,3.1600000858306885,3.259999990463257,3.1600000858306885,3.259999990463257,3.14,3.24,0.020000085830688352,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,3.1600000858306885,3.259999990463257,3.1600000858306885,3.259999990463257,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,9,least,13,13,least,13,3.259999990463257,3.4700000286102295,3.259999990463257,3.4700000286102295,3.24,3.34,0.13000002861022963,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,3.259999990463257,3.4700000286102295,3.259999990463257,3.4700000286102295,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,10,bring,14,14,bring,14,3.4700000286102295,3.75,3.4700000286102295,3.75,3.34,3.68,0.13000002861022963,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,3.4700000286102295,3.75,3.4700000286102295,3.75,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,11,some,15,15,some,15,3.75,4.010000228881836,3.75,4.010000228881836,3.68,3.94,0.07000022888183599,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,3.75,4.010000228881836,3.75,4.010000228881836,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,12,answers,16,16,answers,16,4.010000228881836,4.369999885559082,4.010000228881836,4.369999885559082,3.94,4.24,0.12999988555908182,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,4.010000228881836,4.369999885559082,4.010000228881836,4.369999885559082,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,13,to,17,17,to,17,4.369999885559082,4.539999961853027,4.369999885559082,4.539999961853027,4.24,4.46,0.12999988555908182,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,4.369999885559082,4.539999961853027,4.369999885559082,4.539999961853027,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,14,the,18,18,the,18,4.599999904632568,4.659999847412109,4.599999904632568,4.659999847412109,4.46,4.56,0.1399999046325684,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,4.599999904632568,4.659999847412109,4.599999904632568,4.659999847412109,True,True,,sample_0001.json
-3g5yACwYnA$_$13,text_mismatch,15,table,19,19,table,19,4.659999847412109,4.869999885559082,4.659999847412109,4.869999885559082,4.56,4.82,0.09999984741210977,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,4.659999847412109,4.869999885559082,4.659999847412109,4.869999885559082,True,True,,sample_0001.json
-3g5yACwYnA$_$3,text_mismatch,1,We're,1,1,we're,1,0.5199999809265137,1.1100000143051147,0.5199999809265137,1.1100000143051147,0.0,1.06,0.5199999809265137,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_whisper_discrepancy_over_0_5s_null_primary,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,True,,,,,False,True,mfa_whisper_edge_difference_over_0_5s,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,2,a,2,2,a,2,1.159999966621399,1.309999942779541,1.159999966621399,1.309999942779541,1.06,1.32,0.09999996662139887,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,1.159999966621399,1.309999942779541,1.159999966621399,1.309999942779541,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,3,huge,3,3,huge,3,1.309999942779541,1.840000033378601,1.309999942779541,1.840000033378601,1.32,1.7,0.14000003337860112,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,1.309999942779541,1.840000033378601,1.309999942779541,1.840000033378601,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,4,user,4,4,user,4,2.5299999713897705,2.940000057220459,2.5299999713897705,2.940000057220459,1.7,2.84,0.8299999713897706,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_whisper_discrepancy_over_0_5s_null_primary,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,True,,,,,False,True,mfa_whisper_edge_difference_over_0_5s,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,5,of,5,5,of,5,2.940000057220459,3.0199999809265137,2.940000057220459,3.0199999809265137,2.84,3.04,0.10000005722045913,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,2.940000057220459,3.0199999809265137,2.940000057220459,3.0199999809265137,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,6,adhesives,6,6,adhesives,6,3.0199999809265137,3.490000009536743,3.0199999809265137,3.490000009536743,3.04,3.54,0.04999999046325687,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,3.0199999809265137,3.490000009536743,3.0199999809265137,3.490000009536743,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,7,for,7,7,for,7,4.179999828338623,4.380000114440918,4.179999828338623,4.380000114440918,3.54,4.38,0.639999828338623,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_whisper_discrepancy_over_0_5s_null_primary,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,True,,,,,False,True,mfa_whisper_edge_difference_over_0_5s,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,8,our,8,8,our,8,4.380000114440918,4.690000057220459,4.380000114440918,4.690000057220459,4.38,4.64,0.050000057220459304,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,4.380000114440918,4.690000057220459,4.380000114440918,4.690000057220459,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,9,operation,9,9,operation,9,4.690000057220459,5.260000228881836,4.690000057220459,5.260000228881836,4.64,5.16,0.1000002288818358,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,4.690000057220459,5.260000228881836,4.690000057220459,5.260000228881836,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,10,called,10,10,called,10,5.630000114440918,5.820000171661377,5.630000114440918,5.820000171661377,5.16,5.8,0.4700001144409178,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,5.630000114440918,5.820000171661377,5.630000114440918,5.820000171661377,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,11,flocking,11,11,flocking,11,5.820000171661377,6.289999961853027,5.820000171661377,6.289999961853027,5.8,6.12,0.16999996185302724,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,5.820000171661377,6.289999961853027,5.820000171661377,6.289999961853027,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,12,and,12,12,and,12,6.420000076293945,6.809999942779541,6.420000076293945,6.809999942779541,6.76,6.76,0.3399999237060545,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,6.420000076293945,6.809999942779541,6.420000076293945,6.809999942779541,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,13,we,13,13,we,13,6.960000038146973,7.110000133514404,6.960000038146973,7.110000133514404,6.76,7.12,0.20000003814697287,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,6.960000038146973,7.110000133514404,6.960000038146973,7.110000133514404,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,14,don't,14,14,don't,14,7.110000133514404,7.25,7.110000133514404,7.25,7.12,7.22,0.03000000000000025,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,7.110000133514404,7.25,7.110000133514404,7.25,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,15,have,15,15,have,15,7.25,7.349999904632568,7.25,7.349999904632568,7.22,7.36,0.03000000000000025,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,7.25,7.349999904632568,7.25,7.349999904632568,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,16,the,16,16,the,16,7.349999904632568,7.429999828338623,7.349999904632568,7.429999828338623,7.36,7.48,0.05000017166137738,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,7.349999904632568,7.429999828338623,7.349999904632568,7.429999828338623,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,17,technical,17,17,technical,17,7.429999828338623,8.050000190734863,7.429999828338623,8.050000190734863,7.48,7.86,0.19000019073486296,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,7.429999828338623,8.050000190734863,7.429999828338623,8.050000190734863,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,18,inside,,,,,,,,,,,,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,official_word_unmatched_or_ambiguous_in_asr,,,False,,,,,False,False,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,19,compounding,21,21,compounding,21,9.369999885559082,10.029999732971191,9.369999885559082,10.029999732971191,8.92,9.92,0.4499998855590821,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,9.369999885559082,10.029999732971191,9.369999885559082,10.029999732971191,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,20,or,22,22,or,22,10.0600004196167,10.300000190734863,10.0600004196167,10.300000190734863,9.92,10.26,0.1400004196166993,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,10.0600004196167,10.300000190734863,10.0600004196167,10.300000190734863,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,21,the,23,23,the,23,10.300000190734863,10.380000114440918,10.300000190734863,10.380000114440918,10.26,10.4,0.040000190734863494,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,10.300000190734863,10.380000114440918,10.300000190734863,10.380000114440918,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,22,technical,24,24,technical,24,10.380000114440918,10.789999961853027,10.380000114440918,10.789999961853027,10.4,10.76,0.029999961853027557,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,10.380000114440918,10.789999961853027,10.380000114440918,10.789999961853027,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,23,expertise,25,25,expertise,25,10.789999961853027,11.279999732971191,10.789999961853027,11.279999732971191,10.76,11.08,0.19999973297119134,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,10.789999961853027,11.279999732971191,10.789999961853027,11.279999732971191,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,24,to,26,26,to,26,11.279999732971191,11.369999885559082,11.279999732971191,11.369999885559082,11.08,11.4,0.19999973297119134,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,11.279999732971191,11.369999885559082,11.279999732971191,11.369999885559082,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,25,do,27,27,do,27,11.369999885559082,11.489999771118164,11.369999885559082,11.489999771118164,11.4,11.52,0.03000022888183551,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,11.369999885559082,11.489999771118164,11.369999885559082,11.489999771118164,True,True,,sample_0002.json
-3g5yACwYnA$_$3,text_mismatch,26,these,28,28,these,28,11.489999771118164,11.710000038146973,11.489999771118164,11.710000038146973,11.52,11.72,0.03000022888183551,mandatory_unique_exact_token_pair_in_all_optimal_LCS_alignments,mfa_primary_unique_word_overlap_auto_qc_pass,B_unique_word_overlap_in_mismatched_transcript,MFA 3.4.2 forced alignment of Whisper transcript,False,11.489999771118164,11.710000038146973,11.489999771118164,11.710000038146973,True,True,,sample_0002.json
